index;lvl;lvl req;*type;prop1;par1;min1;max1;prop2;par2;min2;max2;prop3;par3;min3;max3;prop4;par4;min4;max4;prop5;par5;min5;max5;prop6;par6;min6;max6;prop7;par7;min7;max7;prop8;par8;min8;max8;prop9;par9;min9;max9;prop10;par10;min10;max10;prop11;par11;min11;max11;prop12;par12;min12;max12;imagename
Frozen Disc;42;48;Akaran Rondache;Armor Class %;;80;120;Paladin Skills;;1;2;Class Skill;114;4;8;Armor Class;;100;200;Dexterity;;-20;-40;str/lvl;5;;;All Resists;;25;25;Attack Speed %;;10;10;;;;;;;;;;;;;;;;;
Angelic Protectorate;48;54;Protector Shield;Armor Class %;;100;120;Paladin Skills;;2;4;light-thorns;;1;701;thorns;;240;480;Light Radius;;4;8;str/lvl;7;;;Dexterity;;10;15;All Resists;;-25;-25;Increased Block Chance %;;-15;-15;Faster Block %;;-15;-15;Other Skill;251;10;15;;;;;
Unforged Order Shield;52;58;Guilded Shield;Armor Class %;;120;140;Sockets;;4;4;Increased Block Chance %;;15;15;Faster Block %;;15;15;str/lvl;8;;;Faster Movement %;;-20;-20;Paladin Skills;;2;3;;;;;;;;;;;;;;;;;;;;;
Smitesmash;56;62;Royal Shield;Armor Class %;;140;160;Damage %;;50;75;dmg;;15;45;Faster Movement %;;15;15;Paladin Skills;;1;2;Class Skill;97;4;8;Strength;;15;30;Dexterity;;-15;-25;Replenish Life;;15;30;;;;;;;;;;;;;
Curse Whisper;36;42;Mummified Trophy;Armor Class %;;80;100;Necromancer Skills;;2;4;gethit-skill;72;5;10;gethit-skill;76;5;10;gethit-skill;66;5;10;str/lvl;3;;;Dexterity;;10;15;Vitality;;-15;-25;Cast Speed %;;10;10;Attack Speed %;;10;10;;;;;;;;;
Corpse Fetish;41;47;Fetish Trophy;Armor Class %;;80;120;Necromancer Skills;;1;2;Class Skill Tab;8;4;8;Energy;;15;25;Vitality;;-15;-25;Armor Class;;100;200;Mana %;;5;5;Regenerate Mana %;;10;15;;;;;;;;;;;;;;;;;
Venomtongue;47;53;Sexton Trophy;Armor Class %;;100;120;Other Skill;278;5;10;pierce-pois;;5;10;extra-pois;;5;10;Energy;;10;20;Vitality;;-15;-25;res-pois-len;;50;50;Necromancer Skills;;2;4;Other Skill;222;5;15;;;;;;;;;;;;;
Speaking Spirit;50;56;Cantor Trophy;Armor Class %;;120;140;Necromancer Skills;;2;4;Class Skill;93;4;8;gethit-skill;93;10;15;Cast Speed %;;15;15;Energy;;15;25;Vitality;;-20;-40;Increased Block Chance %;;15;15;Armor Class;;75;125;;;;;;;;;;;;;
The Iron Heirophant;55;61;Heirophant Trophy;Armor Class %;;140;160;Necromancer Skills;;1;3;Armor Class;;150;300;Energy;;10;20;Cast Speed %;;10;10;Class Skill;90;5;15;thorns;;150;300;Class Skill;79;5;10;;;;;;;;;;;;;;;;;
Bearclan Mask;62;68;Blood Spirt;Armor Class %;;80;100;Druid Skills;;1;3;Class Skill;228;3;6;Class Skill;233;3;6;Strength;;15;30;Dexterity;;-10;-20;Armor Class;;150;300;Faster Movement %;;-20;-20;dmg;;15;25;abs-cold%;;5;5;;;;;;;;;
Downclash;69;75;Sun Spirit;Armor Class %;;80;120;Druid Skills;;2;4;Class Skill;240;2;4;Other Skill;59;5;15;extra-cold;;5;10;pierce-cold;;5;10;Vitality;;-15;-25;Energy;;10;20;Regenerate Mana %;;10;10;;;;;;;;;;;;;
Wisp Guardian;75;81;Earth Spirit;Armor Class %;;100;120;Druid Skills;;1;3;Class Skill;226;3;6;Class Skill;246;3;6;Class Skill;236;3;6;Regenerate Mana %;;-10;-10;Energy;;10;20;Replenish Life;;15;30;Vitality;;10;15;;;;;;;;;;;;;
Skyrain;82;88;Sky Spirit;Armor Class %;;120;140;Druid Skills;;4;8;Class Skill;249;2;4;Class Skill;230;2;4;Regenerate Mana %;;10;10;Replenish Life;;-15;-25;Armor Class;;-125;-250;All Resists;;10;15;Hit Recovery %;;10;10;;;;;;;;;;;;;
Furyskin;84;90;Dream Spirit;Armor Class %;;140;160;Druid Skills;;2;4;Class Skill;224;2;4;Class Skill;248;2;4;dmg;;15;45;All Resists;;15;15;Replenish Life;;-15;-25;Armor Class;;-125;-250;dex/lvl;5;;;to all Attributes;;10;15;;;;;;;;;
Krax`s Faceguard;61;67;Carnage Helm;Armor Class %;;80;100;Barbarian Skills;;1;3;Strength;;15;25;Deadly Strike;;25;25;dmg;;15;25;All Resists;;15;25;Replenish Life;;-15;-25;Dexterity;;10;15;Class Skill;144;2;4;;;;;;;;;;;;;
Foothill Visor;66;72;Fury Visor;Armor Class %;;80;120;Barbarian Skills;;2;3;Faster Movement %;;15;15;All Resists;;25;35;red-dmg;;10;15;gethit-skill;273;15;15;Strength;;25;50;Vitality;;-10;-15;Armor Class;;-125;-250;Attack Speed %;;15;15;;;;;;;;;
Retaliatorian Diadem;73;79;Destroyer Helm;Armor Class %;;100;120;Barbarian Skills;;2;4;Class Skill;136;4;8;str/lvl;4;;;Dexterity;;-15;-25;Vitality;;15;30;Armor Class;;-250;-500;Hit Recovery %;;15;15;Replenish Life;;10;20;;;;;;;;;;;;;
Bonebash Sights;79;85;Conquerer Crown;Armor Class %;;120;140;Barbarian Skills;;2;4;Class Skill;126;4;8;hit-skill;84;5;15;Attack Speed %;;25;25;Strength;;15;25;Dexterity;;-10;-20;Armor Class;;150;300;Vitality;;15;25;res-mag;;10;15;;;;;;;;;
Hellzerker;84;90;Guardian Crown;Armor Class %;;140;160;Barbarian Skills;;2;4;Attack Speed %;;60;60;str/lvl;7;;;Class Skill;152;4;8;abs-fire;;5;5;abs-fire%;;5;5;res-fire;;25;50;res-fire-max;;5;5;;;;;;;;;;;;;
Bolt Deflector;63;69;Sacred Targe;Armor Class %;;80;100;Paladin Skills;;1;3;All Resists;;25;35;red-dmg;;10;15;gethit-skill;101;15;15;Class Skill;101;3;5;Cast Speed %;;15;15;Energy;;10;15;Vitality;;-15;-25;Strength;;-10;-15;;;;;;;;;
Sacrificial Guard;70;76;Sacred Rondache;Armor Class %;;80;120;Paladin Skills;;2;3;Openwounds;;15;15;Class Skill;96;3;6;Strength;;15;25;Dexterity;;-15;-25;Faster Block %;;15;15;Faster Movement %;;10;10;Vitality;;5;10;;;;;;;;;;;;;
Grandfather`s Blocker;73;79;Ancient Shield;Armor Class %;;100;120;Paladin Skills;;2;4;Faster Block %;;25;25;Increased Block Chance %;;25;25;red-dmg;;15;25;str/lvl;4;;;Dexterity;;15;25;All Resists;;-15;-25;dmg;;15;45;;;;;;;;;;;;;
Last Charge;81;87;Zakarum Shield;Armor Class %;;120;140;Paladin Skills;;2;4;Class Skill;107;4;8;Class Skill;97;2;4;97;;15;25;str/lvl;3;;;Dexterity;;-15;-25;Faster Movement %;;15;15;Vitality;;10;20;;;;;;;;;;;;;
Boundry Hold;84;90;Vortex Shield;Armor Class %;;140;160;Paladin Skills;;2;4;All Resists;;25;50;Armor Class;;250;500;Hit Recovery %;;25;25;Strength;;25;50;Vitality;;-25;-50;gethit-skill;235;5;5;;;;;;;;;;;;;;;;;
Reanimator;60;66;Minion Skull;Armor Class %;;80;100;Necromancer Skills;;1;3;Class Skill;95;4;8;Class Skill;89;4;8;Energy;;20;30;Vitality;;-15;-25;Class Skill;94;2;4;Class Skill;80;2;4;Class Skill;69;2;4;dmg-to-mana;;15;15;red-dmg;;5;15;;;;;
The Embrace;67;73;Hellspawn Skull;Armor Class %;;80;120;Necromancer Skills;;2;3;Class Skill;88;4;8;gethit-skill;87;10;20;gethit-skill;72;10;20;Energy;;-20;-30;dmg-to-mana;;10;10;Regenerate Mana %;;10;20;Faster Movement %;;10;10;Cast Speed %;;25;25;aura;119;5;10;;;;;
Overseer`s Head;66;72;Overseer Skull;Armor Class %;;100;120;Necromancer Skills;;2;4;Increased Block Chance %;;15;15;Faster Block %;;15;15;Light Radius;;2;4;Vitality;;-15;-25;Armor Class;;150;250;Class Skill;73;4;8;Class Skill;83;4;8;res-pois-len;75;;;res-pois;;25;50;;;;;
Magic Absorbing Skull;80;86;Succubae Skull;Armor Class %;;120;140;Necromancer Skills;;2;4;All Resists;;40;60;Vitality;;-20;-40;Energy;;20;40;Cast Speed %;;50;50;red-Damage %;;10;15;Replenish Life;;20;40;aura;120;8;12;Strength;;15;25;Dexterity;;15;25;mag%/lvl;3;;;
Blood Generator;84;90;Bloodlord Skull;Armor Class %;;140;160;Necromancer Skills;;2;4;Class Skill;82;2;4;Class Skill;85;2;4;Strength;;15;25;Dexterity;;15;25;Replenish Life;;15;25;All Resists;;-15;-25;Armor Class;;-150;-250;Energy;;15;25;;;;;;;;;
Frost Crown;91;73;Void Circlet;Armor Class %;;80;100;Sorceress Skills;;4;6;Class Skill;39;4;8;Class Skill;410;4;8;Attack Speed %;;25;25;Cast Speed %;;25;25;Energy;;20;40;Faster Movement %;;-20;-20;Armor Class;;150;300;extra-cold;;10;15;;;;;;;;;
Jungle Crown;92;75;Void Tiara;Armor Class %;;100;120;Amazon Skills;;4;6;Class Skill;391;4;8;Class Skill;15;4;8;Hit Recovery %;;15;15;Mana per Kill;;10;15;Life per Kill;;15;25;Dexterity;;30;60;Armor Class;;-150;-250;extra-pois;;10;15;;;;;;;;;
Zombieskin Helm;93;68;Void Helm;Armor Class %;;80;100;Necromancer Skills;;4;6;Life per Kill;;10;15;Cannot be Frozen;;1;1;res-pois-max;;10;10;res-pois;;25;50;Faster Block %;;15;15;Class Skill;399;4;8;Class Skill;88;4;8;Attack Speed %;;15;15;Increased Block Chance %;;-15;-15;;;;;
Starcap;94;73;Void Cap;Armor Class %;;80;120;All Resists;;25;35;to all Attributes;;25;35;Light Radius;;3;5;Armor Class;;-150;-250;Faster Movement %;;15;15;;;;;;;;;;;;;;;;;;;;;;;;;
Fandril;94;70;Void Armet;Armor Class %;;100;140;Attack Speed %;;20;20;Openwounds;;10;15;Other Skill;29;1;3;Hit Recovery %;;15;15;Strength;;30;50;Magic Find %;;15;35;Vitality;;-10;-15;Armor Class;;150;250;;;;;;;;;;;;;
Arrowsoaker;94;76;Void Conch;Armor Class %;;120;140;Assassin Skills;;4;6;Class Skill;394;4;8;Class Skill;267;4;8;Armor vs Missile;;250;500;Replenish Life;;-25;-35;Armor vs Melee;;-150;-300;Dexterity;;40;60;Faster Movement %;;15;15;dmg-norm;;15;35;;;;;;;;;
Battlefield Rammer;95;80;Void Spire;Armor Class %;;120;160;Class Skill;97;8;12;Faster Movement %;;15;15;Cannot be Frozen;;1;1;Armor vs Missile;;150;300;Replenish Life;;-25;-35;Armor vs Melee;;-150;-300;str/lvl;8;;;;;;;;;;;;;;;;;;;
Crusader Cleric`s Helm;96;74;Void Crown;Armor Class %;;140;160;Paladin Skills;;4;6;Class Skill;406;4;8;Class Skill;116;4;8;Replenish Life;;35;50;Armor vs Missile;;-150;-300;Armor vs Melee;;150;300;Strength;;40;60;Dexterity;;-15;-25;Increased Block Chance %;;15;15;All Resists;;25;35;;;;;
Living Face;95;72;Void Mask;Armor Class %;;100;140;All Skills;;2;3;Hit Recovery %;;15;15;Replenish Life;;35;50;Regenerate Mana %;;10;20;Attack Speed %;;20;20;Cast Speed %;;20;20;to all Attributes;;-15;-25;All Resists;;25;35;;;;;;;;;;;;;
All Mother`s Covering;91;78;Void Shroud;Armor Class %;;300;320;Sorceress Skills;;4;6;Class Skill;410;4;8;Class Skill;39;4;8;Attack Speed %;;15;15;Increased Block Chance %;;10;10;Faster Block %;;10;10;extra-cold;;10;15;Vitality;;15;25;Dexterity;;-10;-20;Strength;;-10;-20;;;;;
Pirate`s Leathers;92;72;Void Hide;Armor Class %;;320;340;Necromancer Skills;;4;6;Class Skill;73;4;8;Attack Speed %;;15;15;Hit Recovery %;;15;15;Faster Movement %;;15;15;Increased Block Chance %;;10;10;Faster Block %;;10;10;Vitality;;-15;-25;Dexterity;;40;60;;;;;;;;;
Raw Husk;92;74;Void Husk;Armor Class %;;340;360;Assassin Skills;;4;6;Class Skill;260;4;8;Openwounds;;10;15;Dexterity;;40;60;Vitality;;-15;-25;Attack Speed %;;-20;-20;red-Damage %;;10;15;dmg;;15;45;;;;;;;;;;;;;
Tendrilskin;92;74;Void Fleece;Armor Class %;;360;360;Druid Skills;;4;6;Class Skill;412;4;8;Attack Speed %;;15;15;Hit Recovery %;;15;15;Increased Block Chance %;;10;10;Faster Block %;;10;10;Vitality;;-15;-25;Dexterity;;-10;-20;str/lvl;6;;;;;;;;;;;
Plainsmail;93;71;Void Mail;Armor Class %;;360;380;abs-mag%;;5;8;Attack Speed %;;15;15;dmg-mag;;300;400;att-und/time;1;50;250;Faster Movement %;;20;20;Dexterity;;30;50;Replenish Life;;20;30;;;;;;;;;;;;;;;;;
Sandsmail;93;78;Void Chain Mail;Armor Class %;;380;380;abs-fire%;;5;8;Attack Speed %;;10;10;dmg-fire;;275;435;att/time;0;100;300;str/time;0;20;80;Attack Speed %;;-15;-15;Replenish Life;;15;25;;;;;;;;;;;;;;;;;
Dwarfguard Mesh;93;77;Void Mesh;Armor Class %;;380;400;red-Damage %;;5;8;Hit Recovery %;;15;15;Armor Class;;400;600;Faster Movement %;;-25;-25;Regenerate Mana %;;10;20;Replenish Life;;35;50;red-Damage %;;10;15;Vitality;;15;25;;;;;;;;;;;;;
Entropy;93;78;Void Plate;Armor Class %;;300;300;res-pois-len;50;;;extra-pois;;5;10;dmg-pois;100;640;640;dex/time;2;25;75;Damage %/lvl;7;;;Replenish Life;;-15;-20;str/lvl;2;;;Vitality;;-15;-20;;;;;;;;;;;;;
Herkan`s Scales;94;75;Void Scale;Armor Class %;;320;340;abs-cold%;;5;8;extra-cold;;5;10;dmg-cold;;162;324;str/time;2;25;75;Damage %/lvl;7;;;Replenish Life;;-15;-20;dex/lvl;2;;;Vitality;;-15;-20;;;;;;;;;;;;;
Enchanted Foldplates;94;72;Void Fused Plate;Armor Class %;;340;360;abs-ltng%;;5;8;dmg-ltng;;1;471;enr/time;2;25;75;Dexterity;;-15;-20;Regenerate Mana %;;10;15;vit/lvl;2;;;Strength;;-15;-20;ease;;-15;-15;;;;;;;;;;;;;
Reigncoat;94;58;Void Hauberk;Armor Class %;;360;360;Damage %;;25;50;Attack Speed %;;15;15;Openwounds;;10;15;Dexterity;;40;60;Strength;;40;60;Vitality;;-15;-20;Faster Block %;;-15;-15;dmg-norm;;15;35;;;;;;;;;;;;;
Archon`s Soulstone;95;74;Void Archon Plate;Armor Class %;;360;380;All Skills;;3;5;Magic Find %;;75;150;Replenish Life;;-100;-150;Armor Class;;-500;-750;Faster Movement %;;50;50;to all Attributes;;25;50;;;;;;;;;;;;;;;;;;;;;
Sigil Signed Plate;95;79;Void Demon Plate;Armor Class %;;380;400;Paladin Skills;;4;6;Class Skill;406;4;8;Replenish Life;;75;100;Armor Class;;500;750;to all Attributes;;25;35;Armor vs Melee;;150;300;Armor vs Missile;;-150;-300;Cast Speed %;;15;15;Attack Speed %;;15;15;;;;;;;;;
Superior Warlord`s Plate;98;86;Void War Plate;Armor Class %;;400;440;Barbarian Skills;;4;6;Class Skill;404;4;8;str/time;2;75;150;Armor Class;;500;750;Armor vs Missile;;-250;-500;Faster Movement %;;20;20;extra-fire;;10;15;extra-ltng;;10;15;Vitality;;-15;-25;;;;;;;;;
Evasive Plates;99;87;Void Hunter Plate;Armor Class %;;340;380;Amazon Skills;;4;6;Class Skill;393;4;8;dex/time;3;75;150;Armor Class;;150;350;Damage %/lvl;7;;;Faster Movement %;;15;15;extra-ltng;;10;15;Vitality;;-15;-25;ease;;-15;-15;Attack Speed %;;10;10;;;;;
Zakarum Gold;90;79;Void Guard;Armor Class %;;140;180;Gold Find %;;75;150;dmg-ltng;;1;471;dex/time;3;25;50;str/time;2;25;50;Damage %/lvl;2;;;extra-ltng;;10;15;Vitality;;-25;-50;;;;;;;;;;;;;;;;;
Andariel`s Spitguard;92;81;Void Slither Guard;Armor Class %;;160;160;extra-pois;;5;10;pierce-pois;;5;10;Attack Speed %;;15;15;gethit-skill;83;5;15;vit/lvl;4;;;Dexterity;;15;25;Strength;;15;25;res-fire;;-10;-20;;;;;;;;;;;;;
Arreat Protector;94;82;Void War Aegis;Armor Class %;;160;180;All Resists;;25;35;res-all-max;;5;10;dex/time;1;25;75;str/time;0;25;75;vit/time;2;25;75;enr/time;3;25;75;ease;;-15;-15;;;;;;;;;;;;;;;;;
Thousand Screams;96;84;Void Demon Ward;Armor Class %;;180;180;gethit-skill;83;5;10;gethit-skill;82;5;10;gethit-skill;87;5;10;gethit-skill;91;5;10;gethit-skill;154;5;10;gethit-skill;48;5;10;gethit-skill;44;5;10;gethit-skill;54;5;10;;;;;;;;;;;;;
Twilight Mitts;90;79;Void Mitts;Armor Class %;;80;120;Class Skill;409;1;3;Cast Speed %;;15;15;enr/time;3;15;45;Armor vs Missile;;-150;-200;Armor vs Melee;;150;300;extra-ltng;;5;10;extra-fire;;5;10;Faster Block %;;5;10;;;;;;;;;;;;;
Fleshbinders;92;81;Void Gloves;Armor Class %;;100;120;Class Skill;85;1;3;Attack Speed %;;15;15;Armor vs Melee;;150;300;Armor vs Missile;;-150;-200;str/time;0;25;75;dmg;;75;125;Faster Block %;;5;10;;;;;;;;;;;;;;;;;
Lightsworn Mittens;93;81;Void Skin Mitts;Armor Class %;;120;140;Class Skill;101;1;3;Cast Speed %;;15;15;Faster Block %;;5;10;enr/time;3;15;45;extra-ltng;;10;15;Vitality;;15;25;Hit Recovery %;;5;5;res-fire;;-10;-15;res-ltng;;15;25;;;;;;;;;
Jeweled Handgrips;94;82;Void Braces;Armor Class %;;140;160;Class Skill;280;1;3;Attack Speed %;;15;15;gethit-skill;44;5;10;Dexterity;;15;25;extra-ltng;;5;10;extra-cold;;5;10;Hit Recovery %;;10;10;;;;;;;;;;;;;;;;;
Worldgrips;96;84;Void Mesh Braces;Armor Class %;;140;180;Class Skill;235;1;3;Attack Speed %;;15;15;Cast Speed %;;15;15;Dexterity;;15;25;enr/time;3;15;45;extra-cold;;5;10;Hit Recovery %;;10;10;;;;;;;;;;;;;;;;;
Woundbinder Gauntlets;97;85;Void Gauntlets;Armor Class %;;160;180;Other Skill;141;1;3;Attack Speed %;;15;15;Lifesteal;;12;18;str/time;0;25;75;Replenish Life;;75;100;;;;;;;;;;;;;;;;;;;;;;;;;
Kriandor`s Warfists;99;87;Void War Gauntlets;Armor Class %;;180;200;Class Skill;126;2;6;Attack Speed %;;15;15;Faster Movement %;;15;15;str/time;2;25;75;Armor vs Melee;;150;300;Armor vs Missile;;-150;-200;Vitality;;-15;-20;Crushing Blow;;15;15;Deadly Strike;;25;25;red-Damage %;;5;10;;;;;
Rhapsody`s;90;79;Void Boots;Armor Class %;;80;120;Class Skill;409;1;3;Cast Speed %;;10;10;enr/time;0;15;45;Replenish Life;;-15;-15;Armor vs Melee;;150;300;Vitality;;5;10;res-ltng;;10;15;;;;;;;;;;;;;;;;;
Fieldviper Boots;92;81;Void Skin Boots;Armor Class %;;100;120;Class Skill;395;1;3;Class Skill;278;1;3;dex/time;3;15;45;Vitality;;-5;-15;Replenish Life;;10;15;extra-pois;;5;10;res-fire;;-10;-15;res-pois;;15;35;;;;;;;;;;;;;
Wraith Boots;93;81;Void Curse Boots;Armor Class %;;120;140;Class Skill;266;1;3;Faster Movement %;;25;25;Replenish Life;;15;25;dex/time;1;25;50;res-pois;;-10;-15;res-ltng;;15;35;Vitality;;5;10;;;;;;;;;;;;;;;;;
Long Distance Runners;94;82;Void Demon Boots;Armor Class %;;140;160;Other Skill;141;1;3;Faster Movement %;;45;45;to all Attributes;;15;25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Boneboots;96;84;Void Treads;Armor Class %;;140;180;Class Skill;68;1;3;Cast Speed %;;10;10;to all Attributes;;10;15;Mana %;;5;10;Regenerate Mana %;;10;15;;;;;;;;;;;;;;;;;;;;;;;;;
Hell Trodders;97;85;Void Greaves;Armor Class %;;160;180;Other Skill;61;1;3;res-fire;;25;45;Armor vs Melee;;100;200;extra-fire;;5;10;res-all-max;;5;10;Faster Movement %;;15;15;;;;;;;;;;;;;;;;;;;;;
Battlefield Soakers;99;87;Void War Greaves;Armor Class %;;180;200;Class Skill;145;1;3;to all Attributes;;10;15;res-all-max;;5;10;Faster Movement %;;15;15;Vitality;;-10;-15;dmg;;35;70;red-dmg;;5;15;;;;;;;;;;;;;;;;;
Feathered Sash;90;79;Void Sash;Armor Class %;;80;120;Class Skill;33;1;3;Gold Find %;;25;45;res-all-max;;5;10;Mana %;;5;10;Regenerate Mana %;;10;15;Armor vs Missile;;150;300;Dexterity;;15;35;;;;;;;;;;;;;;;;;
Lifespeed;92;81;Void Belt;Armor Class %;;100;120;Other Skill;82;1;3;Faster Movement %;;35;35;Lifesteal;;12;18;Replenish Life;;15;25;Vitality;;-25;-50;red-dmg;;5;10;;;;;;;;;;;;;;;;;;;;;
Nisha`s Waist;93;81;Void Girdle;Armor Class %;;120;140;Class Skill;247;1;3;red-Damage %;;5;10;Replenish Life;;15;25;Vitality;;15;25;Regenerate Mana %;;-10;-15;Faster Movement %;;-20;-20;Crushing Blow;;15;15;;;;;;;;;;;;;;;;;
Diablo`s Brace;94;82;Void Skin Belt;Armor Class %;;140;160;Other Skill;125;1;3;red-Damage %;;5;10;Gold Find %;;25;45;res-fire;;10;15;res-ltng;;10;15;;;;;;;;;;;;;;;;;;;;;;;;;
Andariel`s Stranglecord;96;84;Void Mesh Belt;Armor Class %;;140;180;Class Skill;73;1;3;extra-pois;;5;10;pierce-pois;;5;10;res-pois;;15;25;res-fire;;-25;-50;gethit-skill;92;10;20;;;;;;;;;;;;;;;;;;;;;
Block Buckle;97;85;Void Buckle;Armor Class %;;160;180;Class Skill;117;1;3;Faster Block %;;5;15;Increased Block Chance %;;5;15;Armor vs Missile;;150;300;Armor vs Melee;;-150;-450;str/time;2;25;75;;;;;;;;;;;;;;;;;;;;;
Qual-Kehk`s Hipplates;99;87;Void War Buckle;Armor Class %;;180;200;Class Skill;149;1;3;red-Damage %;;5;10;Magic Find %;;25;45;cheap;;5;10;Armor vs Melee;;500;750;str/time;1;25;75;Crushing Blow;;15;15;;;;;;;;;;;;;;;;;
Deathdealers Mask;97;85;Void Visage;Armor Class %;;80;120;Attack Speed %;;35;35;Replenish Life;;50;100;str/time;0;25;75;dex/time;1;25;75;Vitality;;-25;-50;Sockets;;1;3;;;;;;;;;;;;;;;;;;;;;
Wailing Wall;98;86;Void Skull  Guard;Armor Class %;;100;120;Faster Block %;;-10;-15;Increased Block Chance %;;-10;-15;thorns;;250;750;Vitality;;75;150;Strength;;40;60;;;;;;;;;;;;;;;;;;;;;;;;;
Herodius Barrier;94;82;Void Barrier;Armor Class %;;120;140;Class Skill;277;8;12;dex/time;3;25;75;Vitality;;15;25;Replenish Life;;15;25;red-dmg;;5;15;Sockets;;1;3;Hit Recovery %;;15;15;;;;;;;;;;;;;;;;;
Bloodwulf;94;82;Void Visor;Armor Class %;;140;160;Druid Skills;;4;6;Class Skill;412;4;8;Attack Speed %;;35;35;dex/time;1;15;35;str/time;2;25;75;Hit Recovery %;;15;15;Lifesteal;;12;18;;;;;;;;;;;;;;;;;
Nature`s Innersight;90;79;Void Druid Helm;Armor Class %;;140;180;Druid Skills;;4;6;Class Skill;250;4;8;Cast Speed %;;15;15;Vitality;;-25;-50;Regenerate Mana %;;10;15;extra-cold;;5;10;Hit Recovery %;;10;10;;;;;;;;;;;;;;;;;
Thundersky Crown;94;82;Void Eagle Crown;Armor Class %;;160;180;Druid Skills;;4;6;Class Skill;413;2;4;res-ltng;;10;15;res-pois;;-10;-15;Regenerate Mana %;;10;15;Replenish Life;;15;25;red-dmg;;5;15;;;;;;;;;;;;;;;;;
Mishka`s Hidehelm;96;84;Void Wolf Helm;Armor Class %;;160;180;Druid Skills;;4;6;Class Skill;228;4;8;red-Damage %;;10;15;res-pois;;10;15;res-ltng;;10;15;Replenish Life;;15;25;Regenerate Mana %;;-10;-15;;;;;;;;;;;;;;;;;
Bloodbone Visor;98;86;Void Sight Visor;Armor Class %;;180;200;Barbarian Skills;;4;6;Class Skill;403;4;8;Attack Speed %;;15;15;Deadly Strike;;10;10;extra-fire;;5;10;pierce-fire;;5;10;Armor Class;;-150;-450;dex/time;0;25;75;;;;;;;;;;;;;
Unholy Visor;92;81;Void Demon Visor;Armor Class %;;180;220;Barbarian Skills;;4;6;Class Skill;133;4;8;Other Skill;119;5;15;Deadly Strike;;10;10;Deadly Strike;;10;10;str/time;0;50;100;Vitality;;-25;-50;;;;;;;;;;;;;;;;;
Revenge;98;86;Void War Crown;Armor Class %;;200;220;Barbarian Skills;;4;6;Class Skill;128;4;8;dex/time;1;15;35;str/time;0;25;50;thorns;;150;450;Armor Class;;-150;-450;Vitality;;15;35;;;;;;;;;;;;;;;;;
Tri-Arc Reflector;90;79;Void Defender;Armor Class %;;180;200;Paladin Skills;;4;6;Class Skill;125;4;8;res-ltng;;15;25;res-fire;;15;25;res-cold;;15;25;Strength;;25;50;Vitality;;-10;-15;Faster Block %;;15;15;;;;;;;;;;;;;
Defiance Guard;92;81;Void Forged Guard;Armor Class %;;180;220;Paladin Skills;;4;6;Class Skill;104;4;8;red-Damage %;;5;10;red-dmg;;5;10;Strength;;25;50;Faster Block %;;-10;-15;Increased Block Chance %;;-10;-15;Vitality;;15;35;;;;;;;;;;;;;
Fanatic`s Zeal;93;81;Void Shard Guard;Armor Class %;;200;220;Paladin Skills;;4;6;Class Skill;122;4;8;Class Skill;106;4;8;Attack Speed %;;25;25;str/time;1;50;100;Vitality;;-10;-15;Faster Block %;;-10;-15;Increased Block Chance %;;-10;-15;;;;;;;;;;;;;
Hade`s Skullcollector;94;82;Void Skull;Armor Class %;;100;120;Necromancer Skills;;4;6;Class Skill;95;4;8;Cast Speed %;;15;15;Faster Block %;;5;10;Increased Block Chance %;;5;10;to all Attributes;;15;35;Hitpoints;;-250;-350;;;;;;;;;;;;;;;;;
High Councilor`s Head;96;84;Void Speaking Skull;Armor Class %;;120;140;Necromancer Skills;;4;6;Class Skill;397;2;4;Hitpoints;;125;250;abs-mag%;;5;10;Cast Speed %;;20;20;enr/time;0;15;45;;;;;;;;;;;;;;;;;;;;;
Evandrial;99;87;Void Demon Skull;Armor Class %;;140;160;Necromancer Skills;;4;6;Class Skill;398;2;4;Cast Speed %;;25;25;Replenish Life;;15;25;All Resists;;15;30;Armor Class;;150;300;Hitpoints;;150;300;Hit Recovery %;;15;15;;;;;;;;;;;;;
Seekers Circle;91;73;Void Circlet;Armor Class %;;80;100;Sorceress Skills;;4;6;Class Skill;409;4;8;Class Skill;53;4;8;Cast Speed %;;25;25;Energy;;-20;-40;Faster Movement %;;25;25;Vitality;;15;30;extra-ltng;;10;15;Regenerate Mana %;;15;15;;;;;;;;;
Huntress Tiara;92;75;Void Tiara;Armor Class %;;100;120;Amazon Skills;;4;6;att%/lvl;2;;;dex/lvl;6;;;Manasteal;;4;8;Lifesteal;;4;8;Deadly Strike;;15;15;Class Skill;392;4;8;Class Skill;32;4;8;Vitality;;15;25;;;;;;;;;
Familiar Face;93;68;Void Helm;Armor Class %;;80;100;Necromancer Skills;;4;6;Class Skill;397;4;8;Class Skill;67;4;8;Cast Speed %;;20;20;Regenerate Mana %;;15;15;Mana per Kill;;10;15;Hitpoints;;100;150;Faster Movement %;;-10;-10;red-dmg;;5;10;;;;;;;;;
Leatherhold;94;73;Void Cap;Armor Class %;;80;120;Armor Class;;250;350;to all Attributes;;25;35;Light Radius;;-2;-3;Regenerate Mana %;;15;25;Faster Movement %;;15;15;att%/lvl;2;;;Replenish Life;;15;25;;;;;;;;;;;;;;;;;
